section,book_subject,unit,q_id,admin_subject,level,page,qusetion,missing in admin,missing in book,double in admin,sort_key
כמותי,משוואת,1,372,משוואות,4,7,1,,,,7001
כמותי,משוואת,1,373,משוואות,3,7,2,,,,7002
כמותי,משוואת,1,374,משוואות,3,7,3,,,,7003
כמותי,משוואת,1,378,משוואות,6,8,4,,,,8004
כמותי,משוואת,1,387,משוואות,4,8,5,,,,8005
כמותי,משוואת,1,388,משוואות,3,8,6,,,,8006
כמותי,משוואת,2,8381,משוואות,4.5,9,7,,,,9007
כמותי,משוואת,2,389,משוואות,5,9,8,,,,9008
כמותי,משוואת,2,390,משוואות,6,9,9,,,,9009
כמותי,משוואת,2,391,משוואות,3.5,9,10,,,,9010
כמותי,משוואת,2,392,משוואות,3,10,11,,,,10011
כמותי,משוואת,2,393,משוואות,3,10,12,,,,10012
כמותי,משוואת,2,394,משוואות,5,10,13,,,,10013
כמותי,משוואת,2,395,משוואות,5.5,10,14,,,,10014
כמותי,משוואת,3,396,משוואות,5,11,15,,,,11015
כמותי,משוואת,3,397,משוואות,6.5,11,16,,,,11016
כמותי,משוואת,3,398,משוואות,4.5,11,17,,,,11017
כמותי,משוואת,3,399,משוואות,5,12,18,,,,12018
כמותי,משוואת,3,400,משוואות,4,12,19,,,,12019
כמותי,משוואת,3,,,,12,20,1,,,12020
כמותי,אי-שוויון,1,380,אי-שוויון,1,15,1,,,,15001
כמותי,אי-שוויון,1,381,אי-שוויון,4,15,2,,,,15002
כמותי,אי-שוויון,1,382,אי-שוויון,3.5,15,3,,,,15003
כמותי,אי-שוויון,1,383,אי-שוויון,5,16,4,,,,16004
כמותי,אי-שוויון,1,384,אי-שוויון,6.5,16,5,,,,16005
כמותי,אי-שוויון,1,385,חיובי שלילי וערך מוחלט,8,16,6,,,,16006
כמותי,אי-שוויון,1,386,אי-שוויון,6,16,7,,,,16007
כמותי,אי-שוויון,2,405,חיובי שלילי וערך מוחלט,6,17,8,,,,17008
כמותי,אי-שוויון,2,407,אי-שוויון,5,17,9,,,,17009
